date,play,units,line,win,loss,push,league,netunits
2/17/21,Leafs Regulation Moneyline ,2,-200,1,0,0,NHL,1
2/17/21,Panthers Team Total Over 2.5,1,-130,1,0,0,NHL,1
2/17/21,Oilers Moneyline,1,-140,1,0,0,NHL,1
2/17/21,Bulls Moneyline,1,-150,1,0,0,NBA,1
2/17/21,Tennessee 1st Half -6,1,-110,1,0,0,CBB,1
2/18/21,Blue Jackets Moneyline,1,-125,1,0,0,CBB,1
2/18/21,Capitals Moneyline,1,-160,1,0,0,CBB,1
2/18/21,Tennessee State Moneyline,1,-130,1,0,0,CBB,1
2/18/21,Coyotes Moneyline,1,-160,0,1,0,CBB,-1.6
2/18/21,Blues Regulation Moneyline,1,-120,0,1,0,CBB,-1.2
2/18/21,Bruins Regulation Moneyline,1,-140,0,1,0,CBB,-1.4
2/18/21,Nets Lakers Over 230,1,-110,0,1,0,CBB,-1.1
